CAMPUS NAME AND NUMBER,CAMPUS CUMULATIVE YEAR END ENROLLMENT,CAMPUS DISCIPLINE POPULATION,CAMPUS DISCIPLINE RECORD COUNT,COUNT OF STUDENTS EXPELLED,COUNT OF STUDENTS EXPELLED TO JJAEP,COUNT OF STUDENTS REMOVED TO A DAEP,COUNT OF STUDENTS SUSPENDED IN SCHOOL,DISCRETIONARY DAEP REMOVALS,DISCRETIONARY EXPULSIONS,DISCRETIONARY EXPULSIONS TO JJAEP,MANDATORY DAEP REMOVALS,MANDATORY EXPULSIONS,MANDATORY EXPULSIONS TO JJAEP,STUDENTS SUSPENDED OUT OF SCHOOL,REGION,DISTRICT NAME AND NUMBER
21ST CENTURY EARLY LEARNING FOUNDA 108913118,615.0,,,,,,,,,,,,,,1,WESLACO ISD 108913
3D ACADEMY 108902006,262.0,42.0,92.0,,,11.0,15.0,,,,14.0,,,32.0,1,DONNA ISD 108902
6TH GRADE CENTER 116905108,400.0,83.0,181.0,,,,66.0,,,,,,,40.0,10,GREENVILLE ISD 116905
A & M CONS H S 021901001,1804.0,218.0,553.0,,,31.0,194.0,,,,,,,60.0,6,COLLEGE STATION ISD 021901
A & M CONSOLIDATED MIDDLE 021901042,961.0,140.0,514.0,,,20.0,134.0,,,,,,,59.0,6,COLLEGE STATION ISD 021901
A B DUNCAN EL 077901101,512.0,55.0,111.0,,,,51.0,,,,,,,11.0,17,FLOYDADA ISD 077901
A B MCBAY EL 147903103,515.0,40.0,54.0,,,,40.0,,,,,,,,12,MEXIA ISD 147903
A C BLUNT MIDDLE 205901041,387.0,132.0,513.0,,,19.0,126.0,,,,,,,43.0,2,ARANSAS PASS ISD 205901
A C JONES H S 013901001,1116.0,192.0,395.0,,,64.0,153.0,51.0,,,23.0,,,47.0,2,BEEVILLE ISD 013901
A E BUTLER INT 116908101,639.0,45.0,80.0,,,,36.0,,,,,,,,10,QUINLAN ISD 116908
A G ELDER EL 126905103,568.0,20.0,45.0,,,,18.0,,,,,,,,11,JOSHUA ISD 126905
A LEAL JR MIDDLE 015904042,893.0,362.0,1718.0,,,51.0,310.0,48.0,,,14.0,,,220.0,20,HARLANDALE ISD 015904
A M OCHOA EL 108902104,487.0,22.0,54.0,,,,12.0,,,,,,,16.0,1,DONNA ISD 108902
A M PATE EL 220905153,563.0,20.0,22.0,,,,,,,,,,,20.0,11,FORT WORTH ISD 220905
A MACEO SMITH NEW TECH H S 057905003,360.0,17.0,20.0,,,,,,,,,,,,10,DALLAS ISD 057905
A N RICO EL 108913113,879.0,,,,,,,,,,,,,,1,WESLACO ISD 108913
A P BEUTEL EL 020905102,670.0,12.0,,,,,12.0,,,,,,,,4,BRAZOSPORT ISD 020905
A P SOLIS MIDDLE 108902045,917.0,245.0,619.0,,,11.0,243.0,,,,,,,25.0,1,DONNA ISD 108902
A V CATO EL 220917101,806.0,25.0,61.0,,,,,,,,,,,11.0,11,CASTLEBERRY ISD 220917
A W BROWN - F L A EARLY CHILDHOOD 057816102,1278.0,,,,,,,,,,,,,,10,A W BROWN LEADERSHIP ACADEMY 057816
A+ ACADEMY EL 057829001,859.0,,,,,,,,,,,,,,10,A+ ACADEMY 057829
A+ SECONDARY SCHOOL 057829002,584.0,,,,,,,,,,,,,,10,A+ ACADEMY 057829
A+ UNLIMITED POTENTIAL 101871041,76.0,,,,,,,,,,,,,,4,A+ UNLIMITED POTENTIAL 101871
A+UP UNIVERSITY 101871102,110.0,,,,,,,,,,,,,,4,A+ UNLIMITED POTENTIAL 101871
AARON PARKER EL 139911102,243.0,20.0,23.0,,,,19.0,,,,,,,,8,NORTH LAMAR ISD 139911
AB HARRISON INT 043914042,732.0,64.0,96.0,,,,63.0,,,,,,,,10,WYLIE ISD 043914
ABBETT EL 057909143,788.0,26.0,49.0,,,,25.0,,,,,,,,10,GARLAND ISD 057909
ABBOTT SCHOOL 109901001,298.0,27.0,38.0,,,,26.0,,,,,,,,12,ABBOTT ISD 109901
ABELL J H 165901047,1128.0,238.0,999.0,,,40.0,205.0,51.0,,,30.0,,,116.0,18,MIDLAND ISD 165901
ABERNATHY EL 095901101,378.0,,,,,,,,,,,,,,17,ABERNATHY ISD 095901
ABERNATHY H S 095901001,240.0,19.0,23.0,,,,17.0,,,,,,,,17,ABERNATHY ISD 095901
ABERNATHY MIDDLE 095901041,194.0,10.0,22.0,,,,,,,,,,,,17,ABERNATHY ISD 095901
ABILENE H S 221901001,2242.0,292.0,823.0,,,111.0,217.0,67.0,,,72.0,,,176.0,14,ABILENE ISD 221901
ABOUT FACE PROGRAM EL 071902171,,16.0,53.0,,,,,,,,,,,13.0,19,EL PASO ISD 071902
ACADEMY AT CARRIE F THOMAS 220902116,701.0,35.0,50.0,,,,18.0,,,,,,,24.0,11,BIRDVILLE ISD 220902
ACADEMY EL 014901102,419.0,,,,,,,,,,,,,,12,ACADEMY ISD 014901
ACADEMY FOR TECHNOLOGY ENGINEERING 221901010,347.0,11.0,14.0,,,,,,,,,,,,14,ABILENE ISD 221901
ACADEMY H S 014901001,485.0,36.0,74.0,,,,28.0,,,,,,,23.0,12,ACADEMY ISD 014901
ACADEMY INT 014901101,410.0,,,,,,,,,,,,,,12,ACADEMY ISD 014901
