CAMPUS NAME AND NUMBER,CAMPUS CUMULATIVE YEAR END ENROLLMENT,CAMPUS DISCIPLINE POPULATION,CAMPUS DISCIPLINE RECORD COUNT,COUNT OF STUDENTS EXPELLED,COUNT OF STUDENTS EXPELLED TO JJAEP,COUNT OF STUDENTS REMOVED TO A DAEP,COUNT OF STUDENTS SUSPENDED IN SCHOOL,DISCRETIONARY DAEP REMOVALS,DISCRETIONARY EXPULSIONS,DISCRETIONARY EXPULSIONS TO JJAEP,MANDATORY DAEP REMOVALS,MANDATORY EXPULSIONS,MANDATORY EXPULSIONS TO JJAEP,STUDENTS SUSPENDED OUT OF SCHOOL,REGION,DISTRICT NAME AND NUMBER,DisciplinePopPct,DisciplineRecordCtPct,ExpelledPct,JJAEP_Pct,DAEP_Pct,ISS_Pct,Discr_DAEP_Pct,Discr_Expul_Pct,Discr_Expul_JJAEP_Pct,Mand_DAEP_Pct,Mand_Expul_Pct,Mand_Expul_JJAEP_Pct,Suspension_Pct,DisciplinePopPct_Rank,DisciplineRecordCtPct_Rank,ExpelledPct_Rank,JJAEP_Pct_Rank,DAEP_Pct_Rank,ISS_Pct_Rank,Discr_DAEP_Pct_Rank,Discr_Expul_Pct_Rank,Discr_Expul_JJAEP_Pct_Rank,Mand_DAEP_Pct_Rank,Mand_Expul_Pct_Rank,Mand_Expul_JJAEP_Pct_Rank,Suspension_Pct_Rank
21ST CENTURY EARLY LEARNING FOUNDA 108913118,615.0,,,,,,,,,,,,,,1,WESLACO ISD 108913,,,,,,,,,,,,,,,,,,,,,,,,,,
3D ACADEMY 108902006,262.0,42.0,92.0,,,11.0,15.0,,,,14.0,,,32.0,1,DONNA ISD 108902,0.16030534351145037,0.3511450381679389,,,0.04198473282442748,0.05725190839694656,,,,0.05343511450381679,,,0.12213740458015267,0.27227810128815955,0.2668381289181804,,,0.2557160048134777,0.6503361173355062,,,,0.021592442645074223,,,0.13650594865372573
6TH GRADE CENTER 116905108,400.0,83.0,181.0,,,,66.0,,,,,,,40.0,10,GREENVILLE ISD 116905,0.2075,0.4525,,,,0.165,,,,,,,0.1,0.16516675489677077,0.19610995016878316,,,,0.22611529843145242,,,,,,,0.19693174702567315
A & M CONS H S 021901001,1804.0,218.0,553.0,,,31.0,194.0,,,,,,,60.0,6,COLLEGE STATION ISD 021901,0.12084257206208426,0.3065410199556541,,,0.017184035476718405,0.10753880266075388,,,,,,,0.03325942350332594,0.3838009528851244,0.30509564378717247,,,0.7695547533092659,0.4112853941739662,,,,,,,0.6737633061991234
A & M CONSOLIDATED MIDDLE 021901042,961.0,140.0,514.0,,,20.0,134.0,,,,,,,59.0,6,COLLEGE STATION ISD 021901,0.14568158168574402,0.5348595213319459,,,0.02081165452653486,0.13943808532778357,,,,,,,0.061394380853277836,0.312687488971237,0.1572094518566147,,,0.6666666666666666,0.29843145243430436,,,,,,,0.3926111458985598
A B DUNCAN EL 077901101,512.0,55.0,111.0,,,,51.0,,,,,,,11.0,17,FLOYDADA ISD 077901,0.107421875,0.216796875,,,,0.099609375,,,,,,,0.021484375,0.43215104993823894,0.40861597813856293,,,,0.44571195762884497,,,,,,,0.832498434564809
A B MCBAY EL 147903103,515.0,40.0,54.0,,,,40.0,,,,,,,,12,MEXIA ISD 147903,0.07766990291262135,0.10485436893203884,,,,0.07766990291262135,,,,,,,,0.5518793012175754,0.6122809837646681,,,,0.5448156447341618,,,,,,,
A C BLUNT MIDDLE 205901041,387.0,132.0,513.0,,,19.0,126.0,,,,,,,43.0,2,ARANSAS PASS ISD 205901,0.34108527131782945,1.3255813953488371,,,0.04909560723514212,0.32558139534883723,,,,,,,0.1111111111111111,0.0266454914416799,0.016717569522584793,,,0.16967509025270758,0.021592992462823386,,,,,,,0.16233562930494677
A C JONES H S 013901001,1116.0,192.0,395.0,,,64.0,153.0,51.0,,,23.0,,,47.0,2,BEEVILLE ISD 013901,0.17204301075268819,0.3539426523297491,,,0.05734767025089606,0.13709677419354838,0.0456989247311828,,,0.02060931899641577,,,0.042114695340501794,0.2451032292218105,0.26442694100626907,,,0.10168471720818291,0.30770014259523326,0.13664596273291926,,,0.4534412955465587,,,0.5704445835942392
A E BUTLER INT 116908101,639.0,45.0,80.0,,,,36.0,,,,,,,,10,QUINLAN ISD 116908,0.07042253521126761,0.12519561815336464,,,,0.056338028169014086,,,,,,,,0.5871713428621845,0.5635749879440605,,,,0.6565491953554695,,,,,,,
