REGION,DISTRICT NAME AND NUMBER,CUMULATIVE YEAR END ENROLLMENT,DISCIPLINE POPULATION,DISCIPLINE RECORD COUNT,STUDENTS EXPELLED,STUDENTS EXPELLED TO JJAEP,STUDENTS REMOVED TO A DAEP,STUDENTS SUSPENDED IN SCHOOL,DISCRETIONARY DAEP REMOVALS,DISCRETIONARY EXPULSIONS,DISCRETIONARY EXPULSIONS TO JJAEP,MANDATORY DAEP REMOVALS,MANDATORY EXPULSIONS,MANDATORY EXPULSIONS TO JJAEP,STUDENTS SUSPENDED OUT OF SCHOOL
1,BROWNSVILLE ISD 031901,48020.0,3754.0,8719.0,0.0,0.0,448.0,2933.0,213.0,0.0,0.0,192.0,0.0,0.0,1337.0
1,DONNA ISD 108902,16090.0,2343.0,8900.0,0.0,0.0,294.0,1906.0,73.0,0.0,0.0,195.0,0.0,0.0,1181.0
1,EDCOUCH-ELSA ISD 108903,5636.0,601.0,1814.0,0.0,0.0,100.0,518.0,56.0,0.0,0.0,20.0,0.0,0.0,202.0
1,EDINBURG CISD 108904,36662.0,4659.0,19496.0,0.0,0.0,628.0,3823.0,448.0,0.0,0.0,434.0,0.0,0.0,2069.0
1,EXCELLENCE IN LEADERSHIP ACADEMY 108809,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,GATEWAY ACADEMY CHARTER DISTRICT 240801,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARLINGEN CISD 031903,19881.0,1871.0,4673.0,0.0,0.0,419.0,1592.0,261.0,0.0,0.0,181.0,0.0,0.0,362.0
1,HIDALGO ISD 108905,3436.0,284.0,643.0,0.0,0.0,56.0,257.0,35.0,0.0,0.0,25.0,0.0,0.0,79.0
1,HORIZON MONTESSORI PUBLIC SCHOOLS 108802,1344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,IDEA PUBLIC SCHOOLS 108807,36769.0,503.0,765.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0
1,JIM HOGG COUNTY ISD 124901,1202.0,168.0,357.0,0.0,0.0,20.0,123.0,13.0,0.0,0.0,0.0,0.0,0.0,68.0
1,LA FERIA ISD 031905,3623.0,254.0,642.0,0.0,0.0,59.0,226.0,34.0,0.0,0.0,0.0,0.0,0.0,35.0
